h,l,lprime, t, Zvalue
C-17, Nome_Airport, Elmendorf_AFB, 24, -0
C-17, Nome_Airport, Elmendorf_AFB, 25, -0
C-17, Nome_Airport, Elmendorf_AFB, 26, -0
C-17, Nome_Airport, Elmendorf_AFB, 27, -0
C-17, Nome_Airport, Elmendorf_AFB, 28, -0
C-17, Nome_Airport, Elmendorf_AFB, 29, -0
C-17, Nome_Airport, Elmendorf_AFB, 30, -0
C-17, Nome_Airport, Elmendorf_AFB, 31, -0
C-17, Nome_Airport, Elmendorf_AFB, 32, -0
C-17, Nome_Airport, Elmendorf_AFB, 33, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 0, 0
C-17, Nome_Airport, Camp_Pendleton_Airport, 1, 0
C-17, Nome_Airport, Camp_Pendleton_Airport, 2, 0
C-17, Nome_Airport, Camp_Pendleton_Airport, 3, 0
C-17, Nome_Airport, Camp_Pendleton_Airport, 4, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 5, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 6, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 7, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 8, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 9, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 10, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 11, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 12, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 13, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 14, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 15, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 16, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 17, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 18, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 19, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 20, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 21, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 22, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 23, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 24, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 25, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 26, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 27, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 28, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 29, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 30, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 31, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 32, -0
C-17, Nome_Airport, Camp_Pendleton_Airport, 33, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 0, 1
C-17, Camp_Pendleton_Airport, Juneau_Airport, 1, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 2, 0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 3, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 4, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 5, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 6, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 7, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 8, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 9, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 10, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 11, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 12, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 13, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 14, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 15, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 16, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 17, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 18, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 19, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 20, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 21, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 22, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 23, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 24, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 25, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 26, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 27, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 28, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 29, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 30, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 31, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 32, -0
C-17, Camp_Pendleton_Airport, Juneau_Airport, 33, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 0, 1
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 1, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 2, 0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 3, 0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 4, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 5, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 6, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 7, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 8, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 9, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 10, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 11, -0
C-17, Camp_Pendleton_Airport, Elmendorf_AFB, 12, -0
